epoch,loss,val_acc
1,1.7289,39.78
2,0.8616,56.60
3,0.3136,57.32
4,0.1010,56.96
5,0.0347,59.49
6,0.0027,61.48
7,0.0010,62.39
8,0.0006,61.84
9,0.0004,60.94
10,0.0002,60.76
11,0.0002,60.58
12,0.0001,61.84
13,0.0001,60.76
14,0.0001,61.30
15,0.0000,60.76
16,0.0000,61.12
17,0.0000,61.30
18,0.0000,60.94
19,0.0000,61.12
20,0.0000,61.84
21,0.0000,60.76
22,0.0000,61.48
23,0.0000,61.12
24,0.0000,61.48
25,0.0000,61.66
26,0.0000,61.30
27,0.0000,60.76
28,0.0000,61.30
29,0.0000,61.12
30,0.0000,60.94
